layer,auc,accuracy,precision,recall,f1
0,0.4924784549092028,0.5,0.0,0.0,0.0
1,0.5093971221914435,0.4934210526315789,0.45714285714285713,0.07017543859649122,0.12167300380228137
2,0.5,0.5,0.0,0.0,0.0
3,0.4529278239458295,0.4649122807017544,0.47101449275362317,0.5701754385964912,0.5158730158730159
4,0.5,0.5,0.0,0.0,0.0
5,0.5191308864265928,0.5153508771929824,0.5079726651480638,0.9780701754385965,0.6686656671664168
6,0.4784549092028317,0.5043859649122807,0.5024390243902439,0.9035087719298246,0.64576802507837
7,0.48774622960911046,0.48903508771929827,0.49070631970260226,0.5789473684210527,0.5311871227364185
8,0.5322791628193291,0.5219298245614035,0.5219298245614035,0.5219298245614035,0.5219298245614035
9,0.5039339027393044,0.5153508771929824,0.5101449275362319,0.7719298245614035,0.6143106457242583
10,0.5066943674976916,0.5,0.5,0.2982456140350877,0.37362637362637363
11,0.5,0.5,0.0,0.0,0.0
12,0.5037222991689752,0.5153508771929824,0.5116279069767442,0.6754385964912281,0.5822306238185255
13,0.5,0.5,0.5,1.0,0.6666666666666666
14,0.5,0.5,0.0,0.0,0.0
15,0.5,0.5,0.5,1.0,0.6666666666666666
