layer,auc,accuracy,precision,recall,f1
0,0.4437233339342587,0.5,0.0,0.0,0.0
1,0.47596298299381046,0.5,0.0,0.0,0.0
2,0.47458085451595455,0.5,0.0,0.0,0.0
3,0.4828435791118322,0.5,0.0,0.0,0.0
4,0.4735592812931915,0.5,0.0,0.0,0.0
5,0.48677964064659573,0.5,0.0,0.0,0.0
6,0.517817438855838,0.5,0.0,0.0,0.0
7,0.48951385133104985,0.5,0.0,0.0,0.0
8,0.5008713418664744,0.5,0.0,0.0,0.0
9,0.4739498828195421,0.5,0.0,0.0,0.0
10,0.49750615948560784,0.5,0.0,0.0,0.0
11,0.4671894717865513,0.5,0.0,0.0,0.0
12,0.4885523706508022,0.5,0.0,0.0,0.0
13,0.4715461811189231,0.5,0.0,0.0,0.0
14,0.47437053061715045,0.5038759689922481,0.5454545454545454,0.046511627906976744,0.08571428571428572
15,0.46974340484345894,0.5,0.5,0.9922480620155039,0.6649350649350649
