layer,auc,accuracy,precision,recall,f1
0,0.6197714623039299,0.5,0.5,1.0,0.6666666666666666
1,0.635688986338337,0.5,0.5,1.0,0.6666666666666666
2,0.6093565525383707,0.5,0.5,1.0,0.6666666666666666
3,0.6298912126834205,0.5,0.5,1.0,0.6666666666666666
4,0.6477483555405633,0.5,0.5,1.0,0.6666666666666666
5,0.6640875358407825,0.5032467532467533,0.501628664495114,1.0,0.6681127982646421
6,0.653166638556249,0.538961038961039,0.5204081632653061,0.9935064935064936,0.6830357142857143
7,0.667060212514758,0.6038961038961039,0.5695652173913044,0.8506493506493507,0.6822916666666666
8,0.6617051779389442,0.5811688311688312,0.5457875457875457,0.9675324675324676,0.6978922716627635
9,0.6579946027997976,0.5941558441558441,0.5674418604651162,0.7922077922077922,0.6612466124661247
10,0.6735958846348457,0.6493506493506493,0.6095238095238096,0.8311688311688312,0.7032967032967034
11,0.6801737223815145,0.6331168831168831,0.5944700460829493,0.8376623376623377,0.6954177897574124
12,0.6754090065778376,0.6396103896103896,0.6149732620320856,0.7467532467532467,0.6744868035190615
13,0.6521757463315905,0.6006493506493507,0.6099290780141844,0.5584415584415584,0.5830508474576271
14,0.6555911620846685,0.5162337662337663,0.6190476190476191,0.08441558441558442,0.14857142857142858
15,0.6465255523697082,0.5,0.0,0.0,0.0
