layer,auc,accuracy,precision,recall,f1
0,0.5357032933210218,0.5,0.5,0.9254385964912281,0.6492307692307693
1,0.48099415204678364,0.48464912280701755,0.4748201438848921,0.2894736842105263,0.35967302452316074
2,0.49315173899661435,0.4934210526315789,0.4842105263157895,0.20175438596491227,0.2848297213622291
3,0.4681055709449061,0.46710526315789475,0.46808510638297873,0.4824561403508772,0.47516198704103674
4,0.5872383810403201,0.5679824561403509,0.5555555555555556,0.6798245614035088,0.611439842209073
5,0.5155624807633118,0.49780701754385964,0.49868073878627966,0.8289473684210527,0.6227347611202636
6,0.47420360110803317,0.4956140350877193,0.4772727272727273,0.09210526315789473,0.15441176470588236
7,0.5664050477069867,0.5416666666666666,0.5418502202643172,0.5394736842105263,0.5406593406593406
8,0.5408971991381963,0.5570175438596491,0.5866666666666667,0.38596491228070173,0.4656084656084656
9,0.5581909818405664,0.5263157894736842,0.5172413793103449,0.7894736842105263,0.625
10,0.5317405355493998,0.5307017543859649,0.5364583333333334,0.4517543859649123,0.49047619047619045
11,0.47356879039704525,0.47368421052631576,0.4387755102040816,0.18859649122807018,0.26380368098159507
12,0.48580332409972293,0.4956140350877193,0.4963235294117647,0.5921052631578947,0.54
13,0.475569405971068,0.4934210526315789,0.4838709677419355,0.19736842105263158,0.2803738317757009
14,0.5100992613111727,0.5241228070175439,0.5282051282051282,0.4517543859649123,0.48699763593380613
15,0.49942289935364725,0.46710526315789475,0.463768115942029,0.42105263157894735,0.4413793103448276
