layer,auc,accuracy,precision,recall,f1
0,0.47935821164593473,0.49612403100775193,0.49019607843137253,0.1937984496124031,0.2777777777777778
1,0.4515654107325281,0.46511627906976744,0.4727272727272727,0.6046511627906976,0.5306122448979592
2,0.49131662760651407,0.5193798449612403,0.5257731958762887,0.3953488372093023,0.45132743362831856
3,0.4476293491977646,0.4418604651162791,0.4409448818897638,0.43410852713178294,0.4375
4,0.43669250645994834,0.4883720930232558,0.49056603773584906,0.6046511627906976,0.5416666666666666
5,0.5088035574785169,0.5348837209302325,0.5555555555555556,0.3488372093023256,0.42857142857142855
6,0.5794723874767141,0.5736434108527132,0.5664335664335665,0.627906976744186,0.5955882352941176
7,0.502854395769485,0.5038759689922481,0.5172413793103449,0.11627906976744186,0.189873417721519
8,0.43591130340724715,0.4689922480620155,0.47183098591549294,0.5193798449612403,0.4944649446494465
9,0.5020131001742684,0.5077519379844961,0.509090909090909,0.43410852713178294,0.4686192468619247
10,0.5181179015684154,0.5426356589147286,0.6341463414634146,0.20155038759689922,0.3058823529411765
11,0.4895138513310498,0.4806201550387597,0.4647887323943662,0.2558139534883721,0.33
12,0.4426416681689803,0.437984496124031,0.44666666666666666,0.5193798449612403,0.48028673835125446
13,0.5139114235923322,0.5077519379844961,0.5057471264367817,0.6821705426356589,0.5808580858085809
14,0.5119283696893215,0.4806201550387597,0.4881516587677725,0.7984496124031008,0.6058823529411764
15,0.5282134487110149,0.5155038759689923,0.5108695652173914,0.7286821705426356,0.6006389776357828
