layer,auc,accuracy,precision,recall,f1
0,0.4737308146399056,0.4707792207792208,0.47783251231527096,0.6298701298701299,0.5434173669467787
1,0.5167819193793219,0.512987012987013,0.5454545454545454,0.15584415584415584,0.24242424242424243
2,0.5295581042334289,0.5097402597402597,0.5095541401273885,0.5194805194805194,0.5144694533762058
3,0.4486001011975038,0.512987012987013,0.5070921985815603,0.9285714285714286,0.6559633027522935
4,0.48528419632315734,0.487012987012987,0.4090909090909091,0.05844155844155844,0.10227272727272728
5,0.5151374599426548,0.5227272727272727,0.5241379310344828,0.4935064935064935,0.5083612040133779
6,0.5168240850059032,0.5064935064935064,0.5059523809523809,0.551948051948052,0.5279503105590062
7,0.5131135098667565,0.487012987012987,0.4885057471264368,0.551948051948052,0.5182926829268293
8,0.4947292966773486,0.5097402597402597,0.5085714285714286,0.577922077922078,0.541033434650456
9,0.5015179625569236,0.512987012987013,0.5104166666666666,0.6363636363636364,0.5664739884393064
10,0.4842300556586271,0.525974025974026,0.5370370370370371,0.37662337662337664,0.44274809160305345
11,0.5247512228031708,0.4935064935064935,0.4772727272727273,0.13636363636363635,0.21212121212121213
12,0.474616292798111,0.474025974025974,0.4789473684210526,0.5909090909090909,0.5290697674418605
13,0.5228116039804351,0.5,0.5,0.4935064935064935,0.49673202614379086
14,0.49742789677854604,0.4902597402597403,0.48148148148148145,0.2532467532467532,0.33191489361702126
15,0.5914150784280654,0.5811688311688312,0.6404494382022472,0.37012987012987014,0.4691358024691358
