probe_type,context_type,task,layer,train_loss,val_loss,test_acc,test_precision,test_recall,test_f1
dense_linear,final,correct,4,0.6104274470367977,0.5830457210540771,0.6911111111111111,0.6773255813953488,0.89272030651341,0.7702479338842975
dense_linear,final,correct,8,0.5766352149068883,0.5520508289337158,0.6866666666666666,0.6875,0.842911877394636,0.7573149741824441
dense_linear,final,correct,12,0.5649872989813866,0.5262993574142456,0.7133333333333334,0.7,0.8850574712643678,0.781725888324873
dense_linear,final,correct,16,0.5690313626018515,0.5324369668960571,0.7488888888888889,0.7327044025157232,0.89272030651341,0.8048359240069085
dense_linear,final,correct,20,0.5491709758956563,0.5179587006568909,0.7533333333333333,0.7483443708609272,0.8659003831417624,0.8028419182948491
dense_linear,final,correct,24,0.5510833651752062,0.5239133834838867,0.74,0.7448979591836735,0.8390804597701149,0.7891891891891891
dense_linear,final,correct,28,0.5373770679949577,0.5065577030181885,0.7622222222222222,0.7532894736842105,0.8773946360153256,0.8106194690265487
dense_linear,final,correct,31,0.5470540449556701,0.4981610178947449,0.7377777777777778,0.729903536977492,0.8697318007662835,0.7937062937062936
dense_linear,final,correct_given_recall1,4,0.6514649977449511,0.6225578188896179,0.7022222222222222,0.673972602739726,0.9425287356321839,0.7859424920127794
dense_linear,final,correct_given_recall1,8,0.6264018572744776,0.5925765037536621,0.6777777777777778,0.6686046511627907,0.8812260536398467,0.7603305785123967
dense_linear,final,correct_given_recall1,12,0.6077783088215062,0.5892265439033508,0.7088888888888889,0.7056962025316456,0.8544061302681992,0.7729636048526864
dense_linear,final,correct_given_recall1,16,0.5977112220936134,0.5825346112251282,0.7533333333333333,0.7757352941176471,0.8084291187739464,0.7917448405253285
dense_linear,final,correct_given_recall1,20,0.60202449853303,0.623578667640686,0.6733333333333333,0.8202247191011236,0.5593869731800766,0.6651480637813212
dense_linear,final,correct_given_recall1,24,0.5876971082609208,0.5710403919219971,0.7066666666666667,0.7452471482889734,0.7509578544061303,0.7480916030534351
dense_linear,final,correct_given_recall1,28,0.581117570400238,0.5371578335762024,0.7288888888888889,0.7509025270758123,0.7969348659003831,0.7732342007434944
dense_linear,final,correct_given_recall1,31,0.6343524876188059,0.6371428966522217,0.6533333333333333,0.8106508875739645,0.524904214559387,0.6372093023255815
dense_linear,final,recall_full,4,0.66608032813439,0.6571750640869141,0.6777777777777778,0.7694704049844237,0.7767295597484277,0.7730829420970265
dense_linear,final,recall_full,8,0.6494571719414148,0.6647323369979858,0.6777777777777778,0.7746031746031746,0.7672955974842768,0.7709320695102685
dense_linear,final,recall_full,12,0.6463360860670879,0.6463108658790588,0.6955555555555556,0.7836990595611285,0.7861635220125787,0.7849293563579279
dense_linear,final,recall_full,16,0.6516316974119389,0.559968113899231,0.7266666666666667,0.7700831024930748,0.8742138364779874,0.8188512518409425
dense_linear,final,recall_full,20,0.6363516083130469,0.6228514313697815,0.6977777777777778,0.8074324324324325,0.7515723270440252,0.7785016286644951
dense_linear,final,recall_full,24,0.644926708259862,0.6395570635795593,0.6822222222222222,0.8181818181818182,0.7075471698113207,0.7588532883642497
dense_linear,final,recall_full,28,0.6364566430504068,0.5761961936950684,0.6866666666666666,0.7791798107255521,0.7767295597484277,0.7779527559055119
dense_linear,final,recall_full,31,0.6742646213852879,0.6495532393455505,0.6688888888888889,0.8393574297188755,0.6572327044025157,0.7372134038800706
mass_mean,final,correct,4,0.577730655670166,0.5664271712303162,0.6511111111111111,0.6805555555555556,0.7509578544061303,0.7140255009107469
mass_mean,final,correct,8,0.5729875564575195,0.5614041686058044,0.6555555555555556,0.6815068493150684,0.7624521072796935,0.7197106690777577
mass_mean,final,correct,12,0.5399494767189026,0.5228321552276611,0.6822222222222222,0.697986577181208,0.7969348659003831,0.7441860465116279
mass_mean,final,correct,16,0.5415838956832886,0.5301899909973145,0.6755555555555556,0.7106227106227107,0.7432950191570882,0.7265917602996254
mass_mean,final,correct,20,0.5525014400482178,0.5472385883331299,0.6844444444444444,0.7195571955719557,0.7471264367816092,0.7330827067669173
mass_mean,final,correct,24,0.5523266196250916,0.5458800792694092,0.6911111111111111,0.725925925925926,0.7509578544061303,0.7382297551789078
mass_mean,final,correct,28,0.5447321534156799,0.5368787050247192,0.7111111111111111,0.7416974169741697,0.7701149425287356,0.7556390977443609
mass_mean,final,correct,31,0.5472426414489746,0.5478019714355469,0.7222222222222222,0.7556390977443609,0.7701149425287356,0.7628083491461101
mass_mean,final,correct_given_recall1,4,0.5855551362037659,0.5774847269058228,0.6666666666666666,0.696113074204947,0.7547892720306514,0.7242647058823529
mass_mean,final,correct_given_recall1,8,0.5782490372657776,0.5635290741920471,0.6733333333333333,0.6925675675675675,0.7854406130268199,0.7360861759425493
mass_mean,final,correct_given_recall1,12,0.5465923547744751,0.5336175560951233,0.7022222222222222,0.718213058419244,0.8007662835249042,0.7572463768115942
mass_mean,final,correct_given_recall1,16,0.5448245406150818,0.5319943428039551,0.7155555555555555,0.7453874538745388,0.7739463601532567,0.7593984962406015
mass_mean,final,correct_given_recall1,20,0.5491265654563904,0.5579386949539185,0.7155555555555555,0.7490636704119851,0.7662835249042146,0.7575757575757577
