probe_type,context_type,task,layer,train_loss,val_loss,test_acc,test_precision,test_recall,test_f1
dense_linear,planning,correct,4,0.6836164128524307,0.6980390548706055,0.5377777777777778,0.6221198156682027,0.5172413793103449,0.5648535564853556
dense_linear,planning,correct,8,0.6743449122069275,0.6834055185317993,0.5555555555555556,0.6150943396226415,0.6245210727969349,0.6197718631178708
dense_linear,planning,correct,12,0.6703926011884411,0.6880790591239929,0.5733333333333334,0.6352941176470588,0.6206896551724138,0.627906976744186
dense_linear,planning,correct,16,0.6657061440278921,0.688183069229126,0.5711111111111111,0.6531531531531531,0.5555555555555556,0.6004140786749483
dense_linear,planning,correct,20,0.6865190840848591,0.6838655471801758,0.5688888888888889,0.636734693877551,0.5977011494252874,0.616600790513834
dense_linear,planning,correct,24,0.6751604161285273,0.6964807510375977,0.5822222222222222,0.6763285024154589,0.5363984674329502,0.5982905982905983
dense_linear,planning,correct,28,0.687168210531476,0.6915683746337891,0.5844444444444444,0.6528925619834711,0.6053639846743295,0.6282306163021869
dense_linear,planning,correct,31,0.7337682267077499,0.7034380435943604,0.5422222222222223,0.6368159203980099,0.4904214559386973,0.5541125541125541
dense_linear,planning,correct_given_recall1,4,0.6797196014982755,0.6977615356445312,0.5133333333333333,0.59375,0.5095785440613027,0.5484536082474227
dense_linear,planning,correct_given_recall1,8,0.6655541199152587,0.7027336359024048,0.5044444444444445,0.5826086956521739,0.5134099616858238,0.5458248472505091
dense_linear,planning,correct_given_recall1,12,0.662084587284776,0.694855809211731,0.5244444444444445,0.6026200873362445,0.5287356321839081,0.5632653061224491
dense_linear,planning,correct_given_recall1,16,0.6640920336129236,0.6964130401611328,0.5088888888888888,0.5854700854700855,0.524904214559387,0.5535353535353535
dense_linear,planning,correct_given_recall1,20,0.6706551147288964,0.6851850152015686,0.5155555555555555,0.5787545787545788,0.6053639846743295,0.5917602996254683
dense_linear,planning,correct_given_recall1,24,0.6650594238375054,0.6815569400787354,0.5266666666666666,0.5827586206896552,0.6475095785440613,0.6134301270417424
dense_linear,planning,correct_given_recall1,28,0.6777694537991383,0.7635900974273682,0.44666666666666666,0.6578947368421053,0.09578544061302682,0.16722408026755853
dense_linear,planning,correct_given_recall1,31,0.7047482074284163,0.6484110951423645,0.5777777777777777,0.579064587973274,0.9961685823754789,0.7323943661971831
dense_linear,planning,recall_full,4,0.6795652290403624,0.681215763092041,0.5422222222222223,0.7477876106194691,0.5314465408805031,0.6213235294117646
dense_linear,planning,recall_full,8,0.6668181722854083,0.6659608483314514,0.5555555555555556,0.7681818181818182,0.5314465408805031,0.6282527881040891
