probe_type,context_type,task,layer,train_loss,val_loss,test_acc,test_precision,test_recall,test_f1
dense_linear,subanswer,correct,4,0.6399867701075242,0.6400353908538818,0.66,0.6534090909090909,0.8812260536398467,0.7504078303425776
dense_linear,subanswer,correct,8,0.6207298380378322,0.6443922519683838,0.6622222222222223,0.6588921282798834,0.8659003831417624,0.7483443708609272
dense_linear,subanswer,correct,12,0.6152061141476142,0.6244964003562927,0.6644444444444444,0.6785714285714286,0.8007662835249042,0.7346221441124782
dense_linear,subanswer,correct,16,0.6047700386058744,0.6191494464874268,0.6622222222222223,0.6860068259385665,0.7701149425287356,0.7256317689530686
dense_linear,subanswer,correct,20,0.6116111588648794,0.6249200105667114,0.6666666666666666,0.7063197026022305,0.7279693486590039,0.7169811320754718
dense_linear,subanswer,correct,24,0.6041280227515464,0.5975614786148071,0.6711111111111111,0.6840390879478827,0.8045977011494253,0.7394366197183098
dense_linear,subanswer,correct,28,0.6054349028125299,0.6225801706314087,0.6622222222222223,0.704119850187266,0.7203065134099617,0.7121212121212122
dense_linear,subanswer,correct,31,0.6344503502857145,0.5773448348045349,0.6777777777777778,0.676829268292683,0.8505747126436781,0.7538200339558574
dense_linear,subanswer,correct_given_recall1,4,0.6539571588156653,0.6634079217910767,0.6555555555555556,0.673202614379085,0.789272030651341,0.7266313932980599
dense_linear,subanswer,correct_given_recall1,8,0.6454355824189107,0.650871753692627,0.6511111111111111,0.6566265060240963,0.8352490421455939,0.7352445193929174
dense_linear,subanswer,correct_given_recall1,12,0.6332969098794655,0.6407431364059448,0.6466666666666666,0.6645161290322581,0.789272030651341,0.7215411558669003
dense_linear,subanswer,correct_given_recall1,16,0.6285185813903809,0.6219632625579834,0.6355555555555555,0.6501547987616099,0.8045977011494253,0.7191780821917807
dense_linear,subanswer,correct_given_recall1,20,0.622164490770121,0.6489138007164001,0.6488888888888888,0.6872727272727273,0.7241379310344828,0.7052238805970148
dense_linear,subanswer,correct_given_recall1,24,0.6178368154119273,0.6479071378707886,0.6266666666666667,0.6837944664031621,0.6628352490421456,0.6731517509727627
dense_linear,subanswer,correct_given_recall1,28,0.620127827417655,0.6143659353256226,0.6466666666666666,0.6770833333333334,0.7471264367816092,0.7103825136612023
dense_linear,subanswer,correct_given_recall1,31,0.7324534459192245,0.6381316184997559,0.6444444444444445,0.6784452296819788,0.735632183908046,0.7058823529411765
dense_linear,subanswer,recall_full,4,0.6678796818841508,0.6647835373878479,0.6511111111111111,0.762214983713355,0.7358490566037735,0.7488
dense_linear,subanswer,recall_full,8,0.6600075901209653,0.6730099320411682,0.6733333333333333,0.7938144329896907,0.7264150943396226,0.7586206896551725
dense_linear,subanswer,recall_full,12,0.6557607273042421,0.6485294699668884,0.6488888888888888,0.7857142857142857,0.6918238993710691,0.7357859531772575
dense_linear,subanswer,recall_full,16,0.6420461642436492,0.6497865319252014,0.6644444444444444,0.7889273356401384,0.7169811320754716,0.7512355848434925
dense_linear,subanswer,recall_full,20,0.6393496145258893,0.6151619553565979,0.7177777777777777,0.799373040752351,0.8018867924528302,0.8006279434850863
dense_linear,subanswer,recall_full,24,0.6432329580024049,0.636656641960144,0.6711111111111111,0.785234899328859,0.7358490566037735,0.7597402597402597
dense_linear,subanswer,recall_full,28,0.6350559362998376,0.66033935546875,0.6266666666666667,0.7819548872180451,0.6540880503144654,0.7123287671232877
dense_linear,subanswer,recall_full,31,0.6759324532288772,0.5445509552955627,0.7377777777777778,0.7747252747252747,0.8867924528301887,0.8269794721407625
mass_mean,subanswer,correct,4,0.6281657218933105,0.6430609226226807,0.6422222222222222,0.6533742331288344,0.8160919540229885,0.72572402044293
mass_mean,subanswer,correct,8,0.6361872553825378,0.6403409838676453,0.6555555555555556,0.6577380952380952,0.8467432950191571,0.7403685092127303
